genotypes-garri,LOCATION,fresh ROOT WT. , WT OF PEELED ROOT. ,WT OF PEEL,WT OF DEWATERED MASH  ,WT OF CHAFF,TOASTED GARRI,GARRI YIELD%,garri.yield.plot,peeled.tuber.plot.kg,dewatered.mash.plot,chaff.plot,peel.plot,fresh.storage.root.weight.harvested,fresh weight per.netplot.kg,fry.ha,marketable.root.number,marketable.root.weight.kg,plant.stands.harvested,root.color,root.number,storage.root.shape,weight.in.air,weight.in.water,spg,dmc,starch,dmcov
NR17C2aF70P007,umudike,6.4,4.8,1.15,3.3,0.17,1.9,29.69,3.52,8.88,6.11,0.31,2.13,7.4,11.8,14.8,11.5,6.4,5,2,20.5,3,2065,240,1.14,38.12,26.46,44.88
NR17C2aF79P005,umudike,10,7.1,2.5,3.8,0.19,2.1,21,6.53,22.07,11.81,0.59,7.77,13.6,31.1,38.9,16.5,13,3.5,1,20.5,2.5,4320,420,1.11,33.57,20.4,31.82
NR17C2aF7P007,umudike,10,7.6,2.05,3.2,0.15,1.7,17,2.6,11.62,4.89,0.23,3.13,8.6,15.3,19.1,12,8.2,4.5,1,15.5,3,2935,190,1.07,27.15,11.85,33.27
NR17C2aF7P062,umudike,8.7,6.3,2.4,3.6,0.22,2.1,24.14,3.58,10.74,6.14,0.37,4.09,10.2,14.8,18.5,15,8.9,5.5,1,27,3,2340,240,1.11,33.62,20.46,40.36
NR17C2aF81P002,umudike,10,8.5,1.6,5,0.19,3,30,2.59,7.34,4.32,0.16,1.38,5.4,8.6,10.8,5.5,3.3,5,2,15.5,3,2280,135,1.06,26.28,10.69,30.11
NR17C2aF83P018,umudike,10,8.5,1.7,4.2,0.24,2.6,26,4.35,14.23,7.03,0.40,2.85,13.6,16.7,20.9,12.5,12.8,6.5,1,19,2.5,4140,330,1.09,29.99,15.63,36.40
NR17C2aF87P011,umudike,5.5,3.8,1.51,2.2,0.16,1.07,19.46,2.14,7.62,4.41,0.32,3.02,6.2,11,13.8,8,4.1,4.5,2,20,3.5,2195,150,1.07,27.27,12.01,35.73
NR17C2aF89P002,umudike,2.6,2.2,0.55,1.9,0.06,0.81,31.15,4.98,13.54,11.69,0.37,3.36,4,16,20,6,3.6,2,1,8,3,990,130,1.15,40.23,29.27,26.15
NR17C2aF89P003,umudike,10,8.2,2,3.6,0.18,2.2,22,3.68,13.72,6.02,0.30,3.35,11.5,16.7,20.9,21,10.25,5.5,1,35,3,2220,230,1.12,34.57,21.72,37.99
NR17C2aF89P028,umudike,7.3,6.1,1.7,3.55,0.21,2.1,28.77,5.02,14.57,8.48,0.50,4.06,10.9,17.4,21.8,14,9.4,5,1,23,3.5,2755,340,1.14,39,27.62,39.16
